Short Desc,Type,Material,Size,Length,Trade Size:,Type:,Conduit Type:,Length:,Style:,Color:,Trade Size:.1,Jacket:,Core:,Weight:,Temperature:,End Type:,Ground:,Throat:,Angle:,Outside Diameter:,Application:,Package:,SKU,Manufacturer Series,PDF Link
"EMT Conduit, 1/2 in. Trade, 10 ft L, Galvanized Steel, Blue, Standard End, 30 lb/100 ft",EMT,Galvanized Steel,0.5,10 ft.,1/2 in.,EMT - Thinwall Conduit,0,10 ft.,0,Blue,1/2 in.,0,0,30 lb. / 100 ft.,0,0,0,0.0,0.0,0,0.0,0.0,78001098998.0,,
"EMT Conduit, 4 in. Trade, 10 ft L, Galvanized Steel, Silver, Integral Compression Coupling",EMT,Galvanized Steel,4.0,10 ft.,4 in.,EMT - Thinwall Conduit,0,10 ft.,0,Silver,4 in.,0,0,393 lb. / 100 ft.,0,Integral Compression Coupling,0,0.0,0.0,0,0.0,0.0,78001095215.0,E-Z PULL,http://www.alliedeg.us/e_documents/Allied_Kwik-Fit_and_Kwik-Fit_Compression_EMT.pdf
"Kwik-Fit    Conduit, EMT-Thinwall, 4 in. Trade",EMT,Galvanized Steel,4.0,10 ft.,4 in.,EMT - Thinwall Conduit,0,10 ft.,0,Silver,4 in.,0,0,393 lb. / 100 ft.,0,Integral Set-Screw Coupling,0,0.0,0.0,0,0.0,0.0,9111103030.0,E-Z PULL,
"EMT Conduit, 1/2 in. Trade, 10 ft L, Galvanized Steel, Orange, 30 lb/100 ft",EMT,Galvanized Steel,0.5,10 ft.,1/2 in.,EMT - Thinwall Conduit,0,10 ft.,0,Orange,1/2 in.,0,0,30 lb. / 100 ft.,0,0,0,0.0,0.0,0,0.0,0.0,78001098992.0,,
"EMT Conduit, 1-1/2 in. Trade, 10 ft L, Galvanized Steel, Silver, Integral Compression Coupling",EMT,Galvanized Steel,1.5,10 ft.,1-1/2 in.,EMT - Thinwall Conduit,0,10 ft.,0,Silver,1-1/2 in.,0,0,116 lb. / 100 ft.,0,Integral Compression Coupling,0,0.0,0.0,0,0.0,0.0,78001095017.0,E-Z PULL,http://www.alliedeg.us/e_documents/Allied_Kwik-Fit_and_Kwik-Fit_Compression_EMT.pdf
"EMT Conduit, 1/2 in. Trade, 10 ft L, Galvanized Steel, White, 30 lb/100 ft",EMT,Galvanized Steel,0.5,10 ft.,1/2 in.,EMT - Thinwall Conduit,0,10 ft.,0,White,1/2 in.,0,0,30 lb. / 100 ft.,0,0,0,0.0,0.0,0,0.0,0.0,78001098968.0,,
"EMT Conduit, 3/4 in. Trade, 10 ft L, Galvanized Steel, Red, Standard End, 46 lb/100 ft",EMT,Galvanized Steel,0.75,10 ft.,3/4 in.,EMT - Thinwall Conduit,0,10 ft.,0,Red,3/4 in.,0,0,46 lb. / 100 ft.,0,0,0,0.0,0.0,0,0.0,0.0,78001098990.0,,
"EMT Conduit, 1 in. Trade, 10 ft L, Galvanized Steel, White, 67 lb/100 ft",EMT,Galvanized Steel,1.0,10 ft.,1 in.,EMT - Thinwall Conduit,0,10 ft.,0,White,1 in.,0,0,67 lb. / 100 ft.,0,0,0,0.0,0.0,0,0.0,0.0,78001098986.0,,
"EMT Conduit, 3/4 in., 10 ft. L, Electroplated Steel",EMT,Galvanized Steel,0.75,10 ft.,3/4 in.,EMT Conduit,0,10 ft.,0,Green,3/4 in.,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,78001098997.0,,
EMT - Thinwall Conduit 2-1/2 in,EMT,Galvanized Steel,2.5,10 ft.,2-1/2 in.,EMT - Thinwall Conduit,0,10 ft.,0,Silver,2-1/2 in.,0,0,216 lb. / 100 ft.,0,Standard End,0,0.0,0.0,0,0.0,0.0,9111102007.0,E-Z PULL,
